genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,10/06/2026,Cuba,Polônia,0-3,16-25,20-25,21-25,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,10/06/2026,China,Eslovênia,2-3,17-25,25-20,25-20,23-25,10-15,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,10/06/2026,Ucrânia,Japão,0-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,11/06/2026,China,Ucrânia,3-1,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,11/06/2026,Eslovênia,Polônia,3-2,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,12/06/2026,Ucrânia,Cuba,3-0,25-21,25-20,25-16,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,12/06/2026,Japão,Polônia,3-2,25-21,21-25,25-21,22-25,17-15,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,13/06/2026,China,Japão,1-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,13/06/2026,Cuba,Eslovênia,2-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,14/06/2026,Ucrânia,Polônia,2-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,14/06/2026,China,Cuba,3-0,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 3 - Linyi (CHN),Linyi - Linyi Olympic Sports Park Gymnasium,14/06/2026,Eslovênia,Japão,1-3,,,,,,Realizado
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,24/06/2026,Sérvia,Japão,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,24/06/2026,Cuba,EUA,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,24/06/2026,França,Irã,-,,,,,,Próximo Jogo
